[10:30:06 PM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000.000
[10:33:00 PM]  Mua akainu -500 ruby
[10:34:15 PM]  Mua Râu đen -500 ruby
[10:35:28 PM]  Mua Tóc mốc lai -500 ruby
[10:35:45 PM]  Mua Gậy sấm sét 2 -2300 beri
[10:35:47 PM]  Mua Áo ninja 2 -2000 beri
[10:35:49 PM]  Mua Quần ninja -1800 beri
[10:36:09 PM]  Mua 30 vé vòng quay -450 ruby
[10:39:29 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:29 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:29 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:29 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:30 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:30 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:30 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:30 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:30 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:30 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:31 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:31 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:31 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:31 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:31 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:32 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:33 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:34 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:34 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:34 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:34 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:34 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:34 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:35 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:35 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:35 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:35 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:35 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:35 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:35 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:35 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:36 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:36 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:36 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:36 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:36 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:36 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:37 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:37 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:37 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:37 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:38 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:38 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:38 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:38 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:38 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:38 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:39 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:39 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:39 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:39 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:39 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:39 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:39 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:40 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:40 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:40 PM]  Mua Cơm hộp hải tặc -0 beri
[10:39:40 PM]  Mua Cơm hộp hải tặc -0 beri
