[07:46:48 PM]  Login : [Beri] 2.000.000.000 [Ruby] 5.000.000
[07:48:01 PM]  Mua xác ướp trắng -500 ruby
[07:48:43 PM]  Mua Kinh nghiệm X2 -15 ruby
[07:48:45 PM]  Mua Xp Chiêu thức -1500 ruby
[07:49:10 PM]  Logout : [Beri] 2.000.000.000 [Ruby] 4.997.985
[07:49:22 PM]  Login : [Beri] 2.000.000.000 [Ruby] 4.997.985
[07:50:09 PM]  Nhặt +174 beri
[07:53:57 PM]  Mua 31999 vé vòng quay -479985 ruby
[08:02:16 PM]  Mua Súp baratie -1600 beri
[08:02:16 PM]  Mua Súp baratie -1600 beri
[08:02:17 PM]  Mua Súp baratie -1600 beri
[08:02:17 PM]  Mua Súp baratie -1600 beri
[08:02:17 PM]  Mua Súp baratie -1600 beri
[08:02:17 PM]  Mua Súp baratie -1600 beri
[08:02:17 PM]  Mua Súp baratie -1600 beri
[08:02:17 PM]  Mua Súp baratie -1600 beri
[08:02:17 PM]  Mua Súp baratie -1600 beri
[08:02:17 PM]  Mua Súp baratie -1600 beri
[08:02:18 PM]  Mua Súp baratie -1600 beri
[08:02:18 PM]  Mua Súp baratie -1600 beri
[08:02:18 PM]  Mua Súp baratie -1600 beri
[08:02:18 PM]  Mua Súp baratie -1600 beri
[08:02:18 PM]  Mua Súp baratie -1600 beri
[08:02:18 PM]  Mua Súp baratie -1600 beri
[08:02:18 PM]  Mua Súp baratie -1600 beri
[08:02:18 PM]  Mua Súp baratie -1600 beri
[08:02:18 PM]  Mua Súp baratie -1600 beri
[08:02:19 PM]  Mua Súp baratie -1600 beri
[08:02:19 PM]  Mua Súp baratie -1600 beri
[08:02:19 PM]  Mua Súp baratie -1600 beri
[08:02:19 PM]  Mua Súp baratie -1600 beri
[08:02:19 PM]  Mua Súp baratie -1600 beri
[08:02:19 PM]  Mua Súp baratie -1600 beri
[08:02:19 PM]  Mua Súp baratie -1600 beri
[08:02:19 PM]  Mua Súp baratie -1600 beri
[08:02:20 PM]  Mua Súp baratie -1600 beri
[08:02:20 PM]  Mua Súp baratie -1600 beri
[08:02:20 PM]  Mua Súp baratie -1600 beri
[08:02:20 PM]  Mua Súp baratie -1600 beri
[08:02:20 PM]  Mua Súp baratie -1600 beri
[08:02:20 PM]  Mua Súp baratie -1600 beri
[08:02:20 PM]  Mua Súp baratie -1600 beri
[08:02:20 PM]  Mua Súp baratie -1600 beri
[08:02:21 PM]  Mua Súp baratie -1600 beri
[08:02:21 PM]  Mua Súp baratie -1600 beri
[08:02:21 PM]  Mua Súp baratie -1600 beri
[08:02:21 PM]  Mua Súp baratie -1600 beri
[08:02:21 PM]  Mua Súp baratie -1600 beri
[08:02:21 PM]  Mua Súp baratie -1600 beri
[08:02:21 PM]  Mua Súp baratie -1600 beri
[08:02:21 PM]  Mua Súp baratie -1600 beri
[08:02:21 PM]  Mua Súp baratie -1600 beri
[08:02:22 PM]  Mua Súp baratie -1600 beri
[08:02:22 PM]  Mua Súp baratie -1600 beri
[08:02:22 PM]  Mua Súp baratie -1600 beri
[08:02:22 PM]  Mua Súp baratie -1600 beri
[08:02:22 PM]  Mua Súp baratie -1600 beri
[08:02:22 PM]  Mua Súp baratie -1600 beri
[08:02:22 PM]  Mua Súp baratie -1600 beri
[08:02:22 PM]  Mua Súp baratie -1600 beri
[08:02:23 PM]  Mua Súp baratie -1600 beri
[08:02:23 PM]  Mua Súp baratie -1600 beri
[08:02:23 PM]  Mua Súp baratie -1600 beri
[08:02:23 PM]  Mua Súp baratie -1600 beri
[08:02:23 PM]  Mua Súp baratie -1600 beri
[08:02:23 PM]  Mua Súp baratie -1600 beri
[08:02:23 PM]  Mua Súp baratie -1600 beri
[08:02:23 PM]  Mua Súp baratie -1600 beri
[08:02:23 PM]  Mua Súp baratie -1600 beri
[08:02:24 PM]  Mua Súp baratie -1600 beri
[08:02:24 PM]  Mua Súp baratie -1600 beri
[08:02:24 PM]  Mua Súp baratie -1600 beri
[08:02:24 PM]  Mua Súp baratie -1600 beri
[08:02:24 PM]  Mua Súp baratie -1600 beri
[08:02:24 PM]  Mua Súp baratie -1600 beri
[08:02:24 PM]  Mua Súp baratie -1600 beri
[08:02:24 PM]  Mua Súp baratie -1600 beri
[08:02:24 PM]  Mua Súp baratie -1600 beri
[08:02:25 PM]  Mua Súp baratie -1600 beri
[08:02:25 PM]  Mua Súp baratie -1600 beri
[08:02:25 PM]  Mua Súp baratie -1600 beri
[08:02:25 PM]  Mua Súp baratie -1600 beri
[08:02:25 PM]  Mua Súp baratie -1600 beri
[08:02:25 PM]  Mua Súp baratie -1600 beri
[08:02:25 PM]  Mua Súp baratie -1600 beri
[08:02:25 PM]  Mua Súp baratie -1600 beri
[08:02:26 PM]  Mua Súp baratie -1600 beri
[08:02:26 PM]  Mua Súp baratie -1600 beri
[08:02:26 PM]  Mua Súp baratie -1600 beri
[08:02:26 PM]  Mua Súp baratie -1600 beri
[08:02:26 PM]  Mua Súp baratie -1600 beri
[08:02:26 PM]  Mua Súp baratie -1600 beri
[08:02:26 PM]  Mua Súp baratie -1600 beri
[08:02:26 PM]  Mua Súp baratie -1600 beri
[08:02:26 PM]  Mua Súp baratie -1600 beri
