[06:50:16 PM]  Login : [Beri] 2.000.000.000 [Ruby] 5.000.000
[06:52:47 PM]  Mua gold roger -500 ruby
[06:53:03 PM]  Mua Tóc xoăn -500 ruby
[06:53:28 PM]  Logout : [Beri] 2.000.000.000 [Ruby] 4.998.985
[06:54:18 PM]  Login : [Beri] 2.000.000.000 [Ruby] 4.998.985
[06:54:19 PM]  Logout : [Beri] 2.000.000.000 [Ruby] 4.998.985
[06:54:33 PM]  Login : [Beri] 2.000.000.000 [Ruby] 4.998.985
[06:55:34 PM]  Mua Kinh nghiệm X2 -15 ruby
[06:55:36 PM]  Mua Xp Chiêu thức -1500 ruby
[06:56:27 PM]  Mua Quả Conache -0 beri
[06:56:27 PM]  Mua Quả Conache -0 beri
[06:56:27 PM]  Mua Quả Conache -0 beri
[06:56:27 PM]  Mua Quả Conache -0 beri
[06:56:28 PM]  Mua Quả Conache -0 beri
[06:56:28 PM]  Mua Quả Conache -0 beri
[06:56:28 PM]  Mua Quả Conache -0 beri
[06:56:28 PM]  Mua Quả Conache -0 beri
[06:56:28 PM]  Mua Quả Conache -0 beri
[06:56:29 PM]  Mua Quả Conache -0 beri
[06:56:29 PM]  Mua Quả Conache -0 beri
[06:56:29 PM]  Mua Quả Conache -0 beri
[06:57:14 PM]  Mua Đá khảm vô cực -1000000 ruby
[06:57:15 PM]  Mua Đá khảm vô cực -1000000 ruby
[06:58:21 PM]  Mua Bão tố -500 ruby
[06:58:35 PM]  Mua Tóc khỉ con -500 ruby
[06:58:45 PM]  Mua Râu đen -500 ruby
[06:59:10 PM]  Nhặt +629 beri
[06:59:57 PM]  Mua 30000 vé vòng quay -450000 ruby
[07:02:46 PM]  Nhặt +2839 beri
[07:02:58 PM]  Logout : [Beri] 2.000.003.468 [Ruby] 2.545.970
[07:48:34 PM]  Login : [Beri] 2.000.003.468 [Ruby] 2.545.970
[07:49:16 PM]  Logout : [Beri] 2.000.003.468 [Ruby] 2.545.970
[07:49:31 PM]  Login : [Beri] 2.000.003.468 [Ruby] 2.545.970
[07:49:51 PM]  Mua 10000 vé vòng quay -150000 ruby
[07:55:30 PM]  Nhặt +205 beri
[07:56:03 PM]  Nhặt +902 beri
[07:57:30 PM]  Nhặt +8772 beri
[07:58:14 PM]  Mua aokiji -500 ruby
[07:59:12 PM]  Nhặt +3416 beri
[08:03:42 PM]  Bán item +1 beri
[08:03:43 PM]  Bán item +1 beri
[08:03:44 PM]  Bán item +1 beri
[08:03:48 PM]  Bán item +1 beri
[08:04:05 PM]  Bán item +1 beri
[08:04:05 PM]  Bán item +1 beri
[08:04:05 PM]  Bán item +1 beri
[08:04:05 PM]  Bán item +1 beri
[08:04:05 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:06 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:07 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:08 PM]  Bán item +1 beri
[08:04:09 PM]  Bán item +1 beri
[08:04:09 PM]  Bán item +1 beri
[08:04:09 PM]  Bán item +1 beri
[08:04:09 PM]  Bán item +1 beri
[08:04:09 PM]  Bán item +1 beri
[08:04:09 PM]  Bán item +1 beri
[08:04:09 PM]  Bán item +1 beri
[08:04:09 PM]  Bán item +1 beri
[08:04:09 PM]  Bán item +1 beri
[08:04:09 PM]  Bán item +1 beri
[08:04:09 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:10 PM]  Bán item +1 beri
[08:04:11 PM]  Bán item +1 beri
[08:04:11 PM]  Bán item +1 beri
[08:04:12 PM]  Bán item +1 beri
[08:04:18 PM]  Bán item +1 beri
[08:06:16 PM]  Mua Bột cường hóa -20 ruby
[08:06:16 PM]  Mua Bột cường hóa -20 ruby
[08:06:16 PM]  Mua Bột cường hóa -20 ruby
[08:06:16 PM]  Mua Bột cường hóa -20 ruby
[08:06:16 PM]  Mua Bột cường hóa -20 ruby
[08:06:16 PM]  Mua Bột cường hóa -20 ruby
[08:06:16 PM]  Mua Bột cường hóa -20 ruby
[08:06:17 PM]  Mua Bột cường hóa -20 ruby
[08:06:17 PM]  Mua Bột cường hóa -20 ruby
[08:06:17 PM]  Mua Bột cường hóa -20 ruby
[08:06:17 PM]  Mua Bột cường hóa -20 ruby
[08:06:17 PM]  Mua Bột cường hóa -20 ruby
[08:06:17 PM]  Mua Bột cường hóa -20 ruby
[08:06:17 PM]  Mua Bột cường hóa -20 ruby
