[11:18:07 AM]  Login : [Beri] 2.000.000.000 [Ruby] 500.000
[11:18:52 AM]  Nhặt +90 beri
[11:19:20 AM]  Nhặt +130 beri
[11:19:31 AM]  Logout : [Beri] 2.000.000.220 [Ruby] 500.000
[11:19:39 AM]  Login : [Beri] 2.000.000.220 [Ruby] 500.000
[11:19:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:19:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:19:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:19:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:19:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:19:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:19:53 AM]  Mua Xp Chiêu thức -6000 ruby
[11:19:54 AM]  Mua Xp Chiêu thức -6000 ruby
[11:19:54 AM]  Mua Xp Chiêu thức -6000 ruby
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:01 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:02 AM]  Mua Súp baratie -1600 beri
[11:20:03 AM]  Mua Súp baratie -1600 beri
[11:20:03 AM]  Mua Súp baratie -1600 beri
[11:20:03 AM]  Mua Súp baratie -1600 beri
[11:20:03 AM]  Mua Súp baratie -1600 beri
[11:20:03 AM]  Mua Súp baratie -1600 beri
[11:20:03 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:04 AM]  Mua Súp baratie -1600 beri
[11:20:05 AM]  Mua Súp baratie -1600 beri
[11:20:05 AM]  Mua Súp baratie -1600 beri
[11:20:05 AM]  Mua Súp baratie -1600 beri
[11:20:05 AM]  Mua Súp baratie -1600 beri
[11:20:05 AM]  Mua Súp baratie -1600 beri
[11:20:10 AM]  Mua Quả Conache -0 beri
[11:20:10 AM]  Mua Quả Conache -0 beri
[11:20:10 AM]  Mua Quả Conache -0 beri
[11:20:11 AM]  Mua Quả Conache -0 beri
[11:20:11 AM]  Mua Quả Conache -0 beri
[11:20:11 AM]  Mua Quả Conache -0 beri
[11:20:11 AM]  Mua Quả Conache -0 beri
[11:20:11 AM]  Mua Quả Conache -0 beri
[11:20:11 AM]  Mua Quả Conache -0 beri
[11:20:12 AM]  Mua Quả Conache -0 beri
[11:20:12 AM]  Mua Quả Conache -0 beri
[11:20:12 AM]  Mua Quả Conache -0 beri
[11:20:12 AM]  Mua Quả Conache -0 beri
[11:20:12 AM]  Mua Quả Conache -0 beri
