[12:01:18 AM]  Nhặt +10584 beri
[12:07:23 AM]  Logout : [Beri] 1.987.812.684 [Ruby] 1.000.019.510
[12:07:43 AM]  Login : [Beri] 1.987.812.684 [Ruby] 1.000.019.510
[12:07:59 AM]  Nhặt +1488 beri
[12:08:17 AM]  Nhặt +310 beri
[12:12:29 AM]  Nhặt +5456 beri
[12:12:48 AM]  Nhặt +1953 beri
[12:14:36 AM]  Nhặt +10106 beri
[12:15:58 AM]  Nhặt +12090 beri
[12:16:58 AM]  Nhặt +5022 beri
[12:17:11 AM]  Nhặt +5544 beri
[12:17:13 AM]  Nhặt +9858 beri
[12:17:35 AM]  Nhặt +8568 beri
[12:18:33 AM]  Nhặt +1764 beri
[12:20:23 AM]  Mua Xp Chiêu thức -6000 ruby
[12:20:24 AM]  Mua Kinh nghiệm X2 -60 ruby
[12:21:40 AM]  Mua Bột cường hóa -20 ruby
[12:21:40 AM]  Mua Bột cường hóa -20 ruby
[12:21:40 AM]  Mua Bột cường hóa -20 ruby
[12:21:41 AM]  Mua Bột cường hóa -20 ruby
[12:21:41 AM]  Mua Bột cường hóa -20 ruby
[12:21:41 AM]  Mua Bột cường hóa -20 ruby
[12:21:41 AM]  Mua Bột cường hóa -20 ruby
[12:21:42 AM]  Mua Bột cường hóa -20 ruby
[12:21:42 AM]  Mua Bột cường hóa -20 ruby
[12:21:42 AM]  Mua Bột cường hóa -20 ruby
[12:21:42 AM]  Mua Bột cường hóa -20 ruby
[12:21:42 AM]  Mua Bột cường hóa -20 ruby
[12:21:42 AM]  Mua Bột cường hóa -20 ruby
[12:21:43 AM]  Mua Bột cường hóa -20 ruby
[12:21:43 AM]  Mua Bột cường hóa -20 ruby
[12:21:44 AM]  Mua Bột cường hóa -20 ruby
[12:21:44 AM]  Mua Bột cường hóa -20 ruby
[12:21:44 AM]  Mua Bột cường hóa -20 ruby
[12:21:44 AM]  Mua Bột cường hóa -20 ruby
[12:21:44 AM]  Mua Bột cường hóa -20 ruby
[12:21:45 AM]  Mua Bột cường hóa -20 ruby
[12:21:45 AM]  Mua Bột cường hóa -20 ruby
[12:21:45 AM]  Mua Bột cường hóa -20 ruby
[12:21:45 AM]  Mua Bột cường hóa -20 ruby
[12:21:45 AM]  Mua Bột cường hóa -20 ruby
[12:21:46 AM]  Mua Bột cường hóa -20 ruby
[12:21:46 AM]  Mua Bột cường hóa -20 ruby
[12:21:46 AM]  Mua Bột cường hóa -20 ruby
[12:21:46 AM]  Mua Bột cường hóa -20 ruby
[12:21:47 AM]  Mua Bột cường hóa -20 ruby
[12:21:47 AM]  Mua Bột cường hóa -20 ruby
[12:21:47 AM]  Mua Bột cường hóa -20 ruby
[12:21:47 AM]  Mua Bột cường hóa -20 ruby
[12:21:47 AM]  Mua Bột cường hóa -20 ruby
[12:21:48 AM]  Mua Bột cường hóa -20 ruby
[12:21:48 AM]  Mua Bột cường hóa -20 ruby
[12:21:48 AM]  Mua Bột cường hóa -20 ruby
[12:21:48 AM]  Mua Bột cường hóa -20 ruby
[12:21:48 AM]  Mua Bột cường hóa -20 ruby
[12:21:49 AM]  Mua Bột cường hóa -20 ruby
[12:21:49 AM]  Mua Bột cường hóa -20 ruby
[12:21:49 AM]  Mua Bột cường hóa -20 ruby
[12:21:49 AM]  Mua Bột cường hóa -20 ruby
[12:21:49 AM]  Mua Bột cường hóa -20 ruby
[12:21:50 AM]  Mua Bột cường hóa -20 ruby
[12:21:50 AM]  Mua Bột cường hóa -20 ruby
[12:21:50 AM]  Mua Bột cường hóa -20 ruby
[12:21:50 AM]  Mua Bột cường hóa -20 ruby
[12:21:51 AM]  Mua Bột cường hóa -20 ruby
[12:21:53 AM]  Mua Bột vàng -40 ruby
[12:21:53 AM]  Mua Bột vàng -40 ruby
[12:21:53 AM]  Mua Bột vàng -40 ruby
[12:21:54 AM]  Mua Bột vàng -40 ruby
[12:21:54 AM]  Mua Bột vàng -40 ruby
[12:21:54 AM]  Mua Bột vàng -40 ruby
[12:21:54 AM]  Mua Bột vàng -40 ruby
[12:21:54 AM]  Mua Bột vàng -40 ruby
[12:21:55 AM]  Mua Bột vàng -40 ruby
[12:21:55 AM]  Mua Bột vàng -40 ruby
[12:21:55 AM]  Mua Bột vàng -40 ruby
[12:21:55 AM]  Mua Bột vàng -40 ruby
[12:21:55 AM]  Mua Bột vàng -40 ruby
[12:21:56 AM]  Mua Bột vàng -40 ruby
[12:21:56 AM]  Mua Bột vàng -40 ruby
[12:21:56 AM]  Mua Bột vàng -40 ruby
[12:21:56 AM]  Mua Bột vàng -40 ruby
[12:21:57 AM]  Mua Bột vàng -40 ruby
[12:21:57 AM]  Mua Bột vàng -40 ruby
[12:21:57 AM]  Mua Bột vàng -40 ruby
[12:21:57 AM]  Mua Bột vàng -40 ruby
[12:21:57 AM]  Mua Bột vàng -40 ruby
[12:21:58 AM]  Mua Bột vàng -40 ruby
[12:21:58 AM]  Mua Bột vàng -40 ruby
[12:21:58 AM]  Mua Bột vàng -40 ruby
[12:21:58 AM]  Mua Bột vàng -40 ruby
[12:21:58 AM]  Mua Bột vàng -40 ruby
[12:21:59 AM]  Mua Bột vàng -40 ruby
[12:21:59 AM]  Mua Bột vàng -40 ruby
[12:21:59 AM]  Mua Bột vàng -40 ruby
[12:21:59 AM]  Mua Bột vàng -40 ruby
[12:22:00 AM]  Mua Bột vàng -40 ruby
[12:22:00 AM]  Mua Bột vàng -40 ruby
[12:22:00 AM]  Mua Bột vàng -40 ruby
[12:22:00 AM]  Mua Bột vàng -40 ruby
[12:22:00 AM]  Mua Bột vàng -40 ruby
[12:22:02 AM]  Mua Ngôi sao may mắn -100 ruby
[12:22:02 AM]  Mua Ngôi sao may mắn -100 ruby
[12:22:02 AM]  Mua Ngôi sao may mắn -100 ruby
[12:22:02 AM]  Mua Ngôi sao may mắn -100 ruby
[12:22:02 AM]  Mua Ngôi sao may mắn -100 ruby
[12:22:02 AM]  Mua Ngôi sao may mắn -100 ruby
[12:22:03 AM]  Mua Ngôi sao may mắn -100 ruby
[12:22:03 AM]  Mua Ngôi sao may mắn -100 ruby
[12:22:03 AM]  Mua Ngôi sao may mắn -100 ruby
[12:22:04 AM]  Mua Mai rùa -140 ruby
[12:22:04 AM]  Mua Mai rùa -140 ruby
[12:22:04 AM]  Mua Mai rùa -140 ruby
[12:22:05 AM]  Mua Mai rùa -140 ruby
[12:22:05 AM]  Mua Mai rùa -140 ruby
[12:22:05 AM]  Mua Mai rùa -140 ruby
[12:22:05 AM]  Mua Mai rùa -140 ruby
[12:22:05 AM]  Mua Mai rùa -140 ruby
[12:22:05 AM]  Mua Mai rùa -140 ruby
[12:22:17 AM]  Mua Đá khảm vô cực S -5000000 ruby
[12:22:18 AM]  Mua Đá khảm vô cực S -5000000 ruby
[12:22:19 AM]  Mua Đá khảm vô cực S -1000000 ruby
[12:22:20 AM]  Mua Đá khảm vô cực S -1000000 ruby
[12:22:20 AM]  Mua Đá khảm vô cực S -1000000 ruby
[12:22:21 AM]  Mua Đá khảm vô cực S -1000000 ruby
[12:22:23 AM]  Mua Búa siêu cấp -10000 ruby
[12:22:23 AM]  Mua Búa siêu cấp -10000 ruby
[12:22:23 AM]  Mua Búa siêu cấp -10000 ruby
[12:22:23 AM]  Mua Búa siêu cấp -10000 ruby
[12:22:24 AM]  Mua Búa siêu cấp -10000 ruby
[12:22:24 AM]  Mua Búa siêu cấp -10000 ruby
[12:22:24 AM]  Mua Búa siêu cấp -10000 ruby
[12:22:30 AM]  Đục lỗ Quả Tim -50 ruby
[12:22:30 AM]  Đục lỗ Quả Tim -100 ruby
[12:22:30 AM]  Đục lỗ Quả Tim -100 ruby
[12:22:30 AM]  Đục lỗ Quả Tim -100 ruby
[12:22:33 AM]  Đục lỗ Quả Tim -100 ruby
[12:22:33 AM]  Đục lỗ Quả Tim -100 ruby
[12:22:33 AM]  Đục lỗ Quả Tim -100 ruby
[12:22:33 AM]  Đục lỗ Quả Tim -100 ruby
[12:22:33 AM]  Đục lỗ Quả Tim -100 ruby
[12:22:35 AM]  Đục lỗ Quả Tim -100 ruby
[12:22:35 AM]  Đục lỗ Quả Tim -100 ruby
[12:22:35 AM]  Đục lỗ Quả Tim -100 ruby
[12:22:35 AM]  Đục lỗ Quả Tim -150 ruby
[12:22:38 AM]  Đục lỗ Quả Tim -150 ruby
[12:22:38 AM]  Đục lỗ Quả Tim -150 ruby
[12:22:38 AM]  Đục lỗ Quả Tim -150 ruby
[12:22:38 AM]  Đục lỗ Quả Tim -150 ruby
[12:22:40 AM]  Đục lỗ Quả Tim -200 ruby
[12:22:40 AM]  Đục lỗ Quả Tim -200 ruby
[12:22:40 AM]  Đục lỗ Quả Tim -250 ruby
[12:22:40 AM]  Đục lỗ Quả Tim -250 ruby
[12:22:40 AM]  Đục lỗ Quả Tim -250 ruby
[12:22:43 AM]  Đục lỗ Quả Tim -250 ruby
[12:22:43 AM]  Đục lỗ Quả Tim -250 ruby
[12:22:43 AM]  Đục lỗ Quả Tim -250 ruby
[12:22:43 AM]  Đục lỗ Quả Tim -250 ruby
[12:22:43 AM]  Đục lỗ Quả Tim -250 ruby
[12:22:43 AM]  Đục lỗ Quả Tim -250 ruby
